timestamp,quantity,price,fee,amount,side
2018-06-01 19:28:23,28.01792022,13350,0,374039,1
2018-06-01 19:28:23,7.2978,13350,0,97426,1
2018-06-01 19:28:23,2.3882,13350,0,31882,1
2018-06-01 19:28:23,24.609,13350,0,328530,1
2018-06-01 20:04:05,181.6707,13390,0,-2432571,0
2018-06-01 20:04:05,356.1629,13390,0,-4769021,0
2018-06-01 20:04:06,1.2044,13390,0,-16127,0
2018-06-01 20:04:06,388.586,13390,0,-5203167,0
2018-06-01 20:04:51,49.3147,13400,0,660817,1
2018-06-01 20:20:00,336.4138,13430,0,4518037,1
2018-06-01 20:20:00,1.0,13430,0,13430,1
2018-06-01 20:30:49,0.5,13400,0,6700,1
2018-06-01 20:30:53,82.8978,13400,0,1110831,1
2018-06-01 20:42:10,23.009,13400,0,308321,1
2018-06-01 20:42:10,434.4887,13400,0,5822149,1
2018-06-01 20:54:20,0.367,13270,0,-4870,0
2018-06-01 20:54:51,36.1308,13260,0,-479094,0
2018-06-01 20:54:52,84.2988,13260,0,-1117802,0
2018-06-01 20:54:52,46.2306,13260,0,-613018,0
2018-06-01 20:55:37,167.0272,13250,0,2213110,1
2018-06-01 20:56:49,1200.0,13250,0,-15900000,0
2018-06-01 20:58:16,447.0211,13210,0,5905149,1
2018-06-01 20:58:16,50.0,13210,0,660500,1
2018-06-01 20:58:16,1.0,13210,0,13210,1
2018-06-01 20:58:16,100.0,13210,0,1321000,1
2018-06-01 20:58:17,194.6496,13210,0,2571321,1
2018-06-01 20:58:17,12.211,13210,0,161307,1
2018-06-01 20:58:17,2.06,13210,0,27213,1
2018-06-01 20:58:17,55.1929,13210,0,729098,1
2018-06-01 20:58:17,10.0,13210,0,132100,1
2018-06-01 20:58:17,50.0,13210,0,660500,1
2018-06-01 20:58:17,124.2672,13210,0,1641570,1
2018-06-01 20:58:17,153.5982,13210,0,2029032,1
2018-06-01 21:00:28,251.1757,13210,0,-3318031,0
2018-06-01 21:00:28,647.1432,13210,0,-8548762,0
2018-06-01 21:00:28,0.3994,13210,0,-5276,0
2018-06-01 21:08:21,546.5849,13240,0,7236784,1
2018-06-01 21:08:26,352.1334,13240,0,4662246,1
2018-06-01 21:13:53,232.52952024,13240,0,-3078691,0
2018-06-01 21:13:53,20.0,13240,0,-264800,0
2018-06-01 21:13:54,18.86457975,13240,0,-249767,0
2018-06-01 21:13:59,63.7505,13250,0,-844694,0
2018-06-01 21:13:59,177.1385,13250,0,-2347085,0
2018-06-01 21:13:59,30.5888,13250,0,-405302,0
2018-06-01 21:14:00,657.1281,13250,0,-8706947,0
2018-06-01 21:16:28,0.5,13230,0,6615,1
2018-06-01 21:29:26,14.1049,13240,0,186749,1
2018-06-01 21:29:26,122.8185,13240,0,1626117,1
2018-06-01 21:37:14,812.6627,13190,0,10719021,1
2018-06-01 21:37:15,249.9139,13190,0,3296364,1
2018-06-01 21:37:43,1200.0,13210,0,-15852000,0
2018-06-01 21:46:41,205.20505204,13210,0,2710759,1
2018-06-01 21:46:41,10.0,13210,0,132100,1
2018-06-01 21:54:09,984.795,13260,0,13058382,1
2018-06-01 22:05:17,637.9832,13220,0,-8434138,0
2018-06-01 22:09:59,0.2214,13240,0,2931,1
2018-06-01 22:11:07,54.7041,13240,0,724282,1
2018-06-01 22:12:11,4.73846163,13250,0,62785,1
2018-06-01 22:12:57,0.3196,13250,0,4235,1
2018-06-01 22:12:57,34.9181,13250,0,462665,1
2018-06-01 22:28:46,300.0,13270,0,3981000,1
2018-06-01 22:28:51,243.0815,13270,0,3225692,1
2018-06-01 22:43:05,14.0932,13270,0,-187017,0
2018-06-01 22:46:04,230.2051,13260,0,-3052520,0
2018-06-01 22:51:11,955.7017,13270,0,-12682162,0
2018-06-01 22:55:16,206.2953,13270,0,2737539,1
2018-06-01 23:00:31,0.0029,13270,0,38,1
2018-06-01 23:24:26,64.2636,13270,0,852778,1
2018-06-01 23:24:26,224.5754,13270,0,2980116,1
2018-06-01 23:27:07,81.8966,13280,0,1087587,1
2018-06-01 23:32:52,17.7983,13280,0,236361,1
2018-06-01 23:32:52,3.7622,13280,0,49962,1
2018-06-01 23:42:07,23.25542626,13290,0,309064,1
2018-06-01 23:42:08,410.7249,13290,0,5458534,1
2018-06-01 23:42:31,167.4254,13290,0,2225084,1
2018-06-02 00:17:39,297.5568,13250,0,-3942628,0
2018-06-02 00:19:43,40.8358,13250,0,-541074,0
2018-06-02 00:24:04,83.1923,13270,0,-1103962,0
2018-06-02 00:24:28,6.7715,13280,0,-89926,0
2018-06-02 00:24:28,524.2199,13280,0,-6961640,0
2018-06-02 00:24:28,86.3989,13280,0,-1147377,0
2018-06-02 00:24:28,49.2953,13280,0,-654642,0
2018-06-02 00:24:28,39.9553,13280,0,-530606,0
2018-06-02 00:24:28,0.5,13280,0,-6640,0
2018-06-02 00:24:28,71.1741,13280,0,-945192,0
2018-06-02 00:24:28,0.1,13280,0,-1328,0
2018-06-02 00:27:43,45.002,13280,0,597627,1
2018-06-02 00:41:22,185.16104846,13330,0,2468196,1
2018-06-02 00:42:57,244.0053,13310,0,3247711,1
2018-06-02 00:44:34,725.8316,13300,0,9653560,1
2018-06-02 01:07:09,270.3764,13300,0,-3596006,0
2018-06-02 01:07:09,89.213,13280,0,-1184749,0
2018-06-02 01:07:10,280.0,13300,0,-3724000,0
2018-06-02 01:07:11,403.127,13300,0,-5361589,0
2018-06-02 01:16:05,26.6,13360,0,355376,1
2018-06-02 01:16:26,238.8919,13350,0,3189207,1
2018-06-02 01:16:44,0.05,13370,0,669,1
2018-06-02 01:16:50,199.5,13370,0,2667315,1
2018-06-02 01:17:22,58.18,13370,0,777867,1
2018-06-02 01:17:27,62.9833,13370,0,842087,1
2018-06-02 01:17:27,2.7777,13370,0,37138,1
2018-06-02 01:20:31,11.8282353,13370,0,158144,1
2018-06-02 01:21:26,441.9052,13370,0,5908273,1
2018-06-02 01:33:11,13.8012,13300,0,-183556,0
2018-06-02 01:33:11,0.7264,13300,0,-9661,0
2018-06-02 01:35:48,10.1441,13320,0,-135119,0
2018-06-02 01:36:13,24.6717,13340,0,329120,1
2018-06-02 01:43:35,1.0,13390,0,-13390,0
2018-06-02 01:43:35,500.0,13390,0,-6695000,0
2018-06-02 01:43:35,627.35743959,13390,0,-8400316,0
2018-06-02 01:43:35,71.6425604,13390,0,-959294,0
2018-06-02 01:45:31,361.47904328,13400,0,4843819,1
2018-06-02 01:45:31,150.3,13400,0,2014020,1
2018-06-02 01:45:34,21.0881,13390,0,282370,1
2018-06-02 01:45:34,36.8064,13390,0,492838,1
2018-06-02 01:45:35,70.0,13390,0,937300,1
2018-06-02 01:45:48,1.4,13410,0,-18774,0
2018-06-02 01:45:48,1.2,13410,0,-16092,0
2018-06-02 01:45:48,1.2,13410,0,-16092,0
2018-06-02 01:46:15,564.1265,13400,0,7559295,1
2018-06-02 01:55:45,13.316,13450,0,-179100,0
2018-06-02 01:55:45,3.1,13450,0,-41695,0
2018-06-02 01:59:53,1183.584,13430,0,-15895533,0
2018-06-02 02:00:39,200.17,13450,0,2692287,1
2018-06-02 02:00:39,51.9,13450,0,698055,1
2018-06-02 02:00:57,233.5873,13460,0,3144085,1
2018-06-02 02:14:04,714.3427,13400,0,9572192,1
2018-06-02 02:46:33,323.2117,13340,0,-4311644,0
2018-06-02 02:46:37,876.7883,13350,0,-11705124,0
2018-06-02 02:55:39,11.5172,13340,0,153639,1
2018-06-02 03:15:34,1088.9,13300,0,14482370,1
2018-06-02 03:15:35,0.1,13300,0,1330,1
2018-06-02 03:15:35,21.9565,13300,0,292021,1
2018-06-02 03:17:33,3.786,13320,0,-50430,0
2018-06-02 03:18:00,370.9403,13330,0,-4944634,0
2018-06-02 03:32:24,747.7474,13310,0,-9952518,0
2018-06-02 04:34:53,0.2,13280,0,2656,1
2018-06-02 04:34:53,879.6395,13280,0,11681613,1
2018-06-02 04:34:53,71.2908,13280,0,946742,1
2018-06-02 04:34:53,6.4947,13280,0,86250,1
2018-06-02 04:34:54,11.2984,13280,0,150043,1
2018-06-02 04:34:54,99.5991,13280,0,1322676,1
2018-06-02 04:34:54,15.2644,13280,0,202711,1
2018-06-02 04:34:54,116.2131,13280,0,1543310,1
2018-06-02 04:45:23,410.7251,13290,0,-5458537,0
2018-06-02 04:45:27,789.2749,13280,0,-10481571,0
2018-06-02 04:50:32,755.8487,13230,0,9999878,1
2018-06-02 04:50:32,444.1513,13230,0,5876122,1
2018-06-02 04:50:41,77.212,13250,0,-1023059,0
2018-06-02 04:50:45,60.922,13260,0,-807826,0
2018-06-02 04:50:50,1055.4818,13260,0,-13995689,0
2018-06-02 05:36:26,85.2196,13260,0,1130012,1
2018-06-02 05:36:26,10.4,13260,0,137904,1
2018-06-02 05:39:06,103.1012,13330,0,1374339,1
2018-06-02 05:39:06,50.0,13330,0,666500,1
2018-06-02 05:39:10,89.247,13340,0,1190555,1
2018-06-02 05:39:10,30.0,13340,0,400200,1
2018-06-02 05:39:49,825.648,13360,0,11030657,1
2018-06-02 05:57:13,410.7265,13310,0,-5466770,0
2018-06-02 05:57:13,89.247,13310,0,-1187878,0
2018-06-02 05:58:29,64.4873,13330,0,-859616,0
2018-06-02 06:05:31,564.4608,13350,0,7535552,1
2018-06-02 07:25:54,81.97892053,13340,0,-1093599,0
2018-06-02 07:25:54,848.6837,13340,0,-11321441,0
2018-06-02 07:25:54,269.33737946,13340,0,-3592961,0
2018-06-02 07:26:54,45.42864338,13370,0,607381,1
2018-06-02 07:27:34,52.5204,13370,0,702198,1
2018-06-02 07:27:34,8.6261,13370,0,115331,1
2018-06-02 07:27:56,1007.28943602,13380,0,13477533,1
2018-06-02 07:28:12,7.1501,13360,0,95525,1
2018-06-02 07:31:54,13.7221,13350,0,183190,1
2018-06-02 07:31:58,18.9882,13350,0,-253492,0
2018-06-02 07:35:33,68.773,13370,0,919495,1
2018-06-02 07:35:34,15.4784,13370,0,206946,1
2018-06-02 07:43:33,7.1732,13330,0,-95619,0
2018-06-02 07:44:07,50.1966,13320,0,-668619,0
2018-06-02 07:44:07,55.3482,13320,0,-737238,0
2018-06-02 07:45:51,112.718,13350,0,1504785,1
2018-06-02 08:43:55,183.4776,13450,0,-2467774,0
2018-06-02 08:43:55,115.0,13450,0,-1546750,0
2018-06-02 08:43:55,177.44,13450,0,-2386568,0
2018-06-02 08:43:55,113.29,13450,0,-1523751,0
2018-06-02 08:43:55,5.0,13450,0,-67250,0
2018-06-02 08:43:55,50.0,13450,0,-672500,0
